type,include,geographyType
"21612/lava flow",false,
"21613/meadow",false,
"21631/jungle",false,
"21632/rain forest",false,
"21641/woods",false,
"21642/forest",false,
"21643/trees",false,
"21645/grove",false,
"21646/sacred grove",false,
"21647/tree",false,
"21651/clearing",false,
"21652/scrubland",false,
"22101/general region",false,
"22201/inhabited region",false,
"23118/undersea slope",false,
"23172/undersea knoll",false,
"23184/undersea bank",false,
"23195/undersea ledge",false,
"23302/abyssal plain",false,
"23416/undersea canyon",false,
"23421/undersea basin",false,
"23431/undersea hole",false,
"23462/undersea trough",false,
"23464/undersea trench",false,
"23467/undersea furrow",false,
"29000/continent",true,continent
"29470/galaxy",false,
"29490/star",false,
"29501/planetary system",false,
"29520/sun",false,
"29530/planetary body",false,
"29531/planet",false,
"29532/dwarf planet",false,
"29570/moon",false,
"29771/satellite",false,
"51010/structure",false,
"51011/building",false,
"51012/former structure",false,
"51013/historic structure",false,
"51014/abandoned structure",false,
"51209/apartment house",false,
"51211/house",false,
"51212/country house",false,
"51213/official residence",false,
"51214/palace",false,
"51216/villa",false,
"51217/mansion",false,
"51218/cave dwelling",false,
"51219/rock shelter",false,
"51220/hillfort",false,
"51222/museum",false,
"51223/fortification",false,
"51224/castle",false,
"51225/fort",false,
"51226/fortress",false,
"51227/wall",false,
"51228/bulwark",false,
"51229/gateway",false,
"51230/gate",false,
"51231/funerary building",false,
"51232/mausoleum",false,
"51233/tomb(s)",false,
"51234/pyramid",false,
"51235/ceremonial mound",false,
"51236/cairn",false,
"51237/grave",false,
"51238/hotel",false,
"51239/hut",false,
"51241/historic building",false,
"51251/levee",false,
"51252/canal",false,
"51253/dam",false,
"51254/lock",false,
"51255/well",false,
"51256/ditch",false,
"51257/navigation channel",false,
"51258/aqueduct",false,
"51259/reservoir",false,
"51260/former reservoir",false,
"51262/anchorage",false,
"51263/dike",false,
"51264/pier",false,
"51265/weir",false,
"51266/wharf",false,
"51267/abandoned canal",false,
"51269/moat(s)",false,
"51270/underground irrigation canal(s)",false,
"51271/cliff dwelling",false,
"51272/section of canal",false,
"51273/drainage ditch",false,
"51274/irrigation ditch",false,
"51275/spillway",false,
"51276/irrigation system",false,
"51277/waterworks",false,
"51278/pumping station",false,
"51280/ditch mouth(s)",false,
"51281/stream gauging station",false,
"51291/rock-cut architecture",false,
"51510/institutional building",false,
"51511/office building",false,
"51512/financial institution (building)",false,
"51521/correctional institution (building)",false,
"51522/prison",false,
"51543/concentration camp",false,
"51544/prisoner of war camp",false,
"51545/police post",false,
"51546/abandoned police post",false,
"51551/educational complex",false,
"51552/academy",false,
"51553/campus",false,
"51554/hospital",false,
"51555/school",false,
"51556/college",false,
"51557/university",false,
"51560/sanitarium",false,
"51561/nursery",false,
"51571/memorial",false,
"51572/monument",false,
